r,g,b,h,s,v,c,m,y,k,hex,name
201,91,12,0.0697,0.9403,0.7882,0.0,0.5473,0.9403,0.2118,C95B0C,Squash
122,56,3,0.0742,0.9754,0.4784,0.0,0.541,0.9754,0.5216,7A3803,Spice
209,96,2,0.0757,0.9904,0.8196,0.0,0.5407,0.9904,0.1804,D16002,Marmalade
137,49,1,0.0588,0.9927,0.5373,0.0,0.6423,0.9927,0.4627,893101,Amber
214,114,41,0.0703,0.8084,0.8392,0.0,0.4673,0.8084,0.1608,D67229,Sandstone
204,88,1,0.0714,0.9951,0.8,0.0,0.5686,0.9951,0.2,CC5801,Yam
252,76,2,0.0493,0.9921,0.9882,0.0,0.6984,0.9921,0.0118,FC4C02,Tangelo
227,74,39,0.031,0.8282,0.8902,0.0,0.674,0.8282,0.1098,E34A27,Flame
230,128,0,0.0928,1.0,0.902,0.0,0.4435,1.0,0.098,E68000,Fulvous
255,140,0,0.0915,1.0,1.0,0.0,0.451,1.0,0.0,FF8C00,Dark Orange
255,94,14,0.0553,0.9451,1.0,0.0,0.6314,0.9451,0.0,FF5E0E,Vivid Orange
255,69,0,0.0451,1.0,1.0,0.0,0.7294,1.0,0.0,FF4500,Orange-Red
226,99,16,0.0659,0.9292,0.8863,0.0,0.5619,0.9292,0.1137,E26310,Metallic Orange
245,118,26,0.07,0.8939,0.9608,0.0,0.5184,0.8939,0.0392,F5761A,Pumpkin
253,103,58,0.0385,0.7708,0.9922,0.0,0.5929,0.7708,0.0078,FD673A,Smashed Pumpkin
255,79,0,0.0516,1.0,1.0,0.0,0.6902,1.0,0.0,FF4F00,International Orange
240,97,5,0.0652,0.9792,0.9412,0.0,0.5958,0.9792,0.0588,F06105,Spanish Orange
255,143,0,0.0935,1.0,1.0,0.0,0.4392,1.0,0.0,FF8F00,Princeton Orange
255,165,44,0.0956,0.8275,1.0,0.0,0.3529,0.8275,0.0,FFA52C,Deep Saffron
195,82,20,0.059,0.8974,0.7647,0.0,0.5795,0.8974,0.2353,C35214,Alloy Orange
238,89,33,0.0455,0.8613,0.9333,0.0,0.6261,0.8613,0.0667,EE5921,Halloween Orange
232,150,17,0.1031,0.9267,0.9098,0.0,0.3534,0.9267,0.0902,E89611,Gamboge
207,91,46,0.0466,0.7778,0.8118,0.0,0.5604,0.7778,0.1882,CF5B2E,Medium Vermilion
254,186,79,0.1019,0.689,0.9961,0.0,0.2677,0.689,0.0039,FEBA4F,Pastel Orange
242,110,1,0.0754,0.9959,0.949,0.0,0.5455,0.9959,0.051,F26E01,Philippine Orange
