r,g,b,h,s,v,c,m,y,k,hex,name
139,0,139,0.8333,1.0,0.5451,0.0,1.0,0.0,0.4549,8B008B,Dark Magenta
160,32,240,0.7692,0.8667,0.9412,0.3333,0.8667,0.0,0.0588,A020F0,Veronica
223,115,255,0.7952,0.549,1.0,0.1255,0.549,0.0,0.0,DF73FF,Heliotrope
154,78,174,0.7986,0.5517,0.6824,0.1149,0.5517,0.0,0.3176,9A4EAE,Purpureus
78,42,132,0.7333,0.6818,0.5176,0.4091,0.6818,0.0,0.4824,4E2A84,Northwestern Purple
81,40,136,0.7378,0.7059,0.5333,0.4044,0.7059,0.0,0.4667,512888,Ksu Purple
134,96,142,0.8043,0.3239,0.5569,0.0563,0.3239,0.0,0.4431,86608E,Pomp And Power
136,0,133,0.837,1.0,0.5333,0.0,1.0,0.0221,0.4667,880085,Mardi Gras
108,48,130,0.7886,0.6308,0.5098,0.1692,0.6308,0.0,0.4902,6C3082,Eminence
120,24,74,0.9132,0.8,0.4706,0.0,0.8,0.3833,0.5294,78184A,Pansy Purple
114,36,108,0.8462,0.6842,0.4471,0.0,0.6842,0.0526,0.5529,72246C,Palatinate
48,25,52,0.8086,0.5192,0.2039,0.0769,0.5192,0.0,0.7961,301934,Dark Purple
112,41,99,0.8638,0.6339,0.4392,0.0,0.6339,0.1161,0.5608,702963,Byzantium
86,60,92,0.8021,0.3478,0.3608,0.0652,0.3478,0.0,0.6392,563C5C,English Violet
111,70,133,0.7751,0.4737,0.5216,0.1654,0.4737,0.0,0.4784,6F4685,Affair
111,69,110,0.8373,0.3784,0.4353,0.0,0.3784,0.009,0.5647,6F456E,Long Distance
73,63,94,0.7204,0.3298,0.3686,0.2234,0.3298,0.0,0.6314,493F5E,Prince Charming
142,71,133,0.8545,0.5,0.5569,0.0,0.5,0.0634,0.4431,8E4785,Lipstick Stain
114,0,88,0.8713,1.0,0.4471,0.0,1.0,0.2281,0.5529,720058,Pompadour
111,45,168,0.7561,0.7321,0.6588,0.3393,0.7321,0.0,0.3412,6F2DA8,Grape Color
154,44,160,0.8247,0.725,0.6275,0.0375,0.725,0.0,0.3725,9A2CA0,Pizza Edge
102,2,60,0.9033,0.9804,0.4,0.0,0.9804,0.4118,0.6,66023C,Tyrian Purple
100,83,148,0.7103,0.4392,0.5804,0.3243,0.4392,0.0,0.4196,645394,Ultra Violet
191,0,255,0.7915,1.0,1.0,0.251,1.0,0.0,0.0,BF00FF,Electric Purple
120,81,169,0.7405,0.5207,0.6627,0.2899,0.5207,0.0,0.3373,7851A9,Studio
246,153,205,0.9068,0.378,0.9647,0.0,0.378,0.1667,0.0353,F699CD,Pink
252,148,175,0.9567,0.4127,0.9882,0.0,0.4127,0.3056,0.0118,FC94AF,Rose
252,70,170,0.9084,0.7222,0.9882,0.0,0.7222,0.3254,0.0118,FC46AA,French Fuchsia
242,82,120,0.9604,0.6612,0.949,0.0,0.6612,0.5041,0.051,F25278,Punch
254,197,229,0.9064,0.2244,0.9961,0.0,0.2244,0.0984,0.0039,FEC5E5,Blush Pink
254,127,156,0.9619,0.5,0.9961,0.0,0.5,0.3858,0.0039,FE7F9C,Watermelon
253,164,186,0.9588,0.3518,0.9922,0.0,0.3518,0.2648,0.0078,FDA4BA,Flamingo
242,107,138,0.9617,0.5579,0.949,0.0,0.5579,0.4298,0.051,F26B8A,Rouge
253,171,159,0.0213,0.3715,0.9922,0.0,0.3241,0.3715,0.0078,FDAB9F,Light Salmon
254,125,106,0.0214,0.5827,0.9961,0.0,0.5079,0.5827,0.0039,FE7D6A,Coral Pink
252,148,131,0.0234,0.4802,0.9882,0.0,0.4127,0.4802,0.0118,FC9483,Peach
252,76,78,0.9981,0.6984,0.9882,0.0,0.6984,0.6905,0.0118,FC4C4E,Strawberry
158,66,68,0.9964,0.5823,0.6196,0.0,0.5823,0.5696,0.3804,9E4244,Rosewood
252,186,203,0.9571,0.2619,0.9882,0.0,0.2619,0.1944,0.0118,FCBACB,Lemonade
250,134,196,0.9109,0.464,0.9804,0.0,0.464,0.216,0.0196,FA86C4,Taffy
253,93,168,0.9219,0.6324,0.9922,0.0,0.6324,0.336,0.0078,FD5DA8,Bubblegum
247,154,192,0.9319,0.3765,0.9686,0.0,0.3765,0.2227,0.0314,F79AC0,Ballet Slipper
242,184,198,0.9598,0.2397,0.949,0.0,0.2397,0.1818,0.051,F2B8C6,Lemonade Crepe
225,21,132,0.9093,0.9067,0.8824,0.0,0.9067,0.4133,0.1176,E11584,Magenta Process
255,22,148,0.9099,0.9137,1.0,0.0,0.9137,0.4196,0.0,FF1694,Hot Pink
229,43,80,0.9668,0.8122,0.898,0.0,0.8122,0.6507,0.102,E52B50,Amaranth Pink
227,37,107,0.9386,0.837,0.8902,0.0,0.837,0.5286,0.1098,E3256B,Razzmatazz
255,166,201,0.9345,0.349,1.0,0.0,0.349,0.2118,0.0,FFA6C9,Carnation
255,153,153,0.0,0.4,1.0,0.0,0.4,0.4,0.0,FF9999,Salmon
255,182,193,0.9749,0.2863,1.0,0.0,0.2863,0.2431,0.0,FFB6C1,Light Pink
255,209,220,0.9601,0.1804,1.0,0.0,0.1804,0.1373,0.0,FFD1DC,Pastel Pink
255,183,197,0.9676,0.2824,1.0,0.0,0.2824,0.2275,0.0,FFB7C5,Cherry Blossom
244,194,194,0.0,0.2049,0.9569,0.0,0.2049,0.2049,0.0431,F4C2C2,Baby Pink
231,84,128,0.9501,0.6364,0.9059,0.0,0.6364,0.4459,0.0941,E75480,Dark Pink
255,0,127,0.917,1.0,1.0,0.0,1.0,0.502,0.0,FF007F,Bright Pink
255,110,199,0.8977,0.5686,1.0,0.0,0.5686,0.2196,0.0,FF6EC7,Neon Pink
255,0,255,0.8333,1.0,1.0,0.0,1.0,0.0,0.0,FF00FF,Magenta
255,142,142,0.0,0.4431,1.0,0.0,0.4431,0.4431,0.0,FF8E8E,Tulip Pink
253,221,230,0.9531,0.1265,0.9922,0.0,0.1265,0.0909,0.0078,FDDDE6,Piggy Pink
255,188,217,0.9279,0.2627,1.0,0.0,0.2627,0.149,0.0,FFBCD9,Cotton Candy
239,187,204,0.9455,0.2176,0.9373,0.0,0.2176,0.1464,0.0627,EFBBCC,Cameo Pink
246,74,138,0.938,0.6992,0.9647,0.0,0.6992,0.439,0.0353,F64A8A,French Pink
247,127,190,0.9125,0.4858,0.9686,0.0,0.4858,0.2308,0.0314,F77FBE,Persian Pink
228,113,122,0.987,0.5044,0.8941,0.0,0.5044,0.4649,0.1059,E4717A,Candy Pink
222,49,99,0.9518,0.7793,0.8706,0.0,0.7793,0.5541,0.1294,DE3163,Cherry Pink
204,78,92,0.9815,0.6176,0.8,0.0,0.6176,0.549,0.2,CC4E5C,Dark Terra Cotta
255,20,147,0.9099,0.9216,1.0,0.0,0.9216,0.4235,0.0,FF1493,Deep Pink
229,204,201,0.0179,0.1223,0.898,0.0,0.1092,0.1223,0.102,E5CCC9,Dust Storm
246,173,198,0.9429,0.2967,0.9647,0.0,0.2967,0.1951,0.0353,F6ADC6,Nadeshiko Pink
255,67,164,0.914,0.7373,1.0,0.0,0.7373,0.3569,0.0,FF43A4,Wild Strawberry
209,0,86,0.9314,1.0,0.8196,0.0,1.0,0.5885,0.1804,D10056,Rubine Red
244,0,161,0.89,1.0,0.9569,0.0,1.0,0.3402,0.0431,F400A1,Hollywood Cerise
228,0,124,0.9094,1.0,0.8941,0.0,1.0,0.4561,0.1059,E4007C,Mexican Pink
204,51,102,0.9444,0.75,0.8,0.0,0.75,0.5,0.2,CC3366,Steel Pink
249,66,158,0.9162,0.7349,0.9765,0.0,0.7349,0.3655,0.0235,F9429E,Rose Bonbon
35,23,9,0.0897,0.7429,0.1373,0.0,0.3429,0.7429,0.8627,231709,Brown Oil
75,55,28,0.0957,0.6267,0.2941,0.0,0.2667,0.6267,0.7059,4B371C,Roasted Coffee
60,40,13,0.0957,0.7833,0.2353,0.0,0.3333,0.7833,0.7647,3C280D,Mocha
121,92,52,0.0966,0.5702,0.4745,0.0,0.2397,0.5702,0.5255,795C34,Peanut Brown
54,37,17,0.0901,0.6852,0.2118,0.0,0.3148,0.6852,0.7882,362511,Carob
55,29,16,0.0556,0.7091,0.2157,0.0,0.4727,0.7091,0.7843,371D10,Hickory
63,48,29,0.0931,0.5397,0.2471,0.0,0.2381,0.5397,0.7529,3F301D,Wood
74,37,17,0.0585,0.7703,0.2902,0.0,0.5,0.7703,0.7098,4A2511,Pecan
67,38,22,0.0593,0.6716,0.2627,0.0,0.4328,0.6716,0.7373,432616,Walnut
101,53,15,0.0736,0.8515,0.3961,0.0,0.4752,0.8515,0.6039,65350F,Caramel
94,44,4,0.0741,0.9574,0.3686,0.0,0.5319,0.9574,0.6314,5E2C04,Gingerbread
72,31,1,0.0704,0.9861,0.2824,0.0,0.5694,0.9861,0.7176,481F01,Syrup
46,21,3,0.0698,0.9348,0.1804,0.0,0.5435,0.9348,0.8196,2E1503,Dark Chocolate
154,123,79,0.0978,0.487,0.6039,0.0,0.2013,0.487,0.3961,9A7B4F,Tortilla
53,35,21,0.0729,0.6038,0.2078,0.0,0.3396,0.6038,0.7922,352315,Umber
128,71,28,0.0717,0.7812,0.502,0.0,0.4453,0.7812,0.498,80471C,Tawny
59,30,8,0.0719,0.8644,0.2314,0.0,0.4915,0.8644,0.7686,3B1E08,Brunette
101,42,14,0.0536,0.8614,0.3961,0.0,0.5842,0.8614,0.6039,652A0E,Cinnamon Brown
83,41,21,0.0538,0.747,0.3255,0.0,0.506,0.747,0.6745,532915,Penny
74,55,40,0.0735,0.4595,0.2902,0.0,0.2568,0.4595,0.7098,4A3728,Cedar Brown
159,129,112,0.0603,0.2956,0.6235,0.0,0.1887,0.2956,0.3765,9F8170,Beaver
61,43,31,0.0667,0.4918,0.2392,0.0,0.2951,0.4918,0.7608,3D2B1F,Bistre
121,68,59,0.0242,0.5124,0.4745,0.0,0.438,0.5124,0.5255,79443B,Bole
138,51,36,0.0245,0.7391,0.5412,0.0,0.6304,0.7391,0.4588,8A3324,Burnt Umber
166,123,91,0.0711,0.4518,0.651,0.0,0.259,0.4518,0.349,A67B5B,Cafe Au Lait
75,54,33,0.0833,0.56,0.2941,0.0,0.28,0.56,0.7059,4B3621,Cafe Noir
111,78,55,0.0685,0.5045,0.4353,0.0,0.2973,0.5045,0.5647,6F4E37,Coffee
112,66,65,0.0035,0.4196,0.4392,0.0,0.4107,0.4196,0.5608,704241,Deep Coffee
184,115,51,0.0802,0.7228,0.7216,0.0,0.375,0.7228,0.2784,B87333,Copper
101,67,33,0.0833,0.6733,0.3961,0.0,0.3366,0.6733,0.6039,654321,Dark Brown
72,60,50,0.0758,0.3056,0.2824,0.0,0.1667,0.3056,0.7176,483C32,Taupe
194,178,128,0.1263,0.3402,0.7608,0.0,0.0825,0.3402,0.2392,C2B280,Ecru
153,101,21,0.101,0.8627,0.6,0.0,0.3399,0.8627,0.4,996515,Golden Brown
195,176,145,0.1033,0.2564,0.7647,0.0,0.0974,0.2564,0.2353,C3B091,Khaki
204,119,34,0.0833,0.8333,0.8,0.0,0.4167,0.8333,0.2,CC7722,Ochre
181,101,29,0.0789,0.8398,0.7098,0.0,0.442,0.8398,0.2902,B5651D,Light Brown
139,69,19,0.0694,0.8633,0.5451,0.0,0.5036,0.8633,0.4549,8B4513,Saddle Brown
128,70,27,0.071,0.7891,0.502,0.0,0.4531,0.7891,0.498,80461B,Russet
160,82,45,0.0536,0.7188,0.6275,0.0,0.4875,0.7188,0.3725,A0522D,Sienna
205,149,117,0.0606,0.4293,0.8039,0.0,0.2732,0.4293,0.1961,CD9575,Antique Brass
222,184,135,0.0939,0.3919,0.8706,0.0,0.1712,0.3919,0.1294,DEB887,Burlywood
205,133,63,0.0822,0.6927,0.8039,0.0,0.3512,0.6927,0.1961,CD853F,Peru
222,170,136,0.0659,0.3874,0.8706,0.0,0.2342,0.3874,0.1294,DEAA88,Tumbleweed
209,190,168,0.0894,0.1962,0.8196,0.0,0.0909,0.1962,0.1804,D1BEA8,Dark Vanilla
193,154,107,0.0911,0.4456,0.7569,0.0,0.2021,0.4456,0.2431,C19A6B,Wood Brown
160,120,90,0.0714,0.4375,0.6275,0.0,0.25,0.4375,0.3725,A0785A,Chamoisee
186,135,89,0.079,0.5215,0.7294,0.0,0.2742,0.5215,0.2706,BA8759,Deer
155,118,83,0.081,0.4645,0.6078,0.0,0.2387,0.4645,0.3922,9B7653,Dirt
150,90,62,0.053,0.5867,0.5882,0.0,0.4,0.5867,0.4118,965A3E,Coconut
167,85,2,0.0838,0.988,0.6549,0.0,0.491,0.988,0.3451,A75502,Windsor Tan
8,4,2,0.0556,0.75,0.0314,0.0,0.5,0.75,0.9686,080402,Ebony
13,9,7,0.0556,0.4615,0.051,0.0,0.3077,0.4615,0.949,0D0907,Crow
40,35,29,0.0909,0.275,0.1569,0.0,0.125,0.275,0.8431,28231D,Charcoal
4,4,6,0.6667,0.3333,0.0235,0.3333,0.3333,0.0,0.9765,040406,Midnight
7,5,4,0.0556,0.4286,0.0275,0.0,0.2857,0.4286,0.9725,070504,Ink
5,3,1,0.0833,0.8,0.0196,0.0,0.4,0.8,0.9804,050301,Raven
5,1,0,0.0333,1.0,0.0196,0.0,0.8,1.0,0.9804,050100,Oil
10,8,6,0.0833,0.4,0.0392,0.0,0.2,0.4,0.9608,0A0806,Grease
3,1,4,0.7778,0.75,0.0157,0.25,0.75,0.0,0.9843,030104,Onyx
3,0,1,0.9444,1.0,0.0118,0.0,1.0,0.6667,0.9882,030001,Pitch
22,13,8,0.0595,0.6364,0.0863,0.0,0.4091,0.6364,0.9137,160D08,Soot
6,6,6,0.0,0.0,0.0235,0.0,0.0,0.0,0.9765,060606,Sable
3,3,3,0.0,0.0,0.0118,0.0,0.0,0.0,0.9882,030303,Jet Black
12,9,8,0.0417,0.3333,0.0471,0.0,0.25,0.3333,0.9529,0C0908,Coal
14,12,10,0.0833,0.2857,0.0549,0.0,0.1429,0.2857,0.9451,0E0C0A,Metal
2,4,3,0.4167,0.5,0.0157,0.5,0.0,0.25,0.9843,020403,Obsidian
0,3,2,0.4444,1.0,0.0118,1.0,0.0,0.3333,0.9882,000302,Jade
4,2,0,0.0833,1.0,0.0157,0.0,0.5,1.0,0.9843,040200,Spider
11,7,5,0.0556,0.5455,0.0431,0.0,0.3636,0.5455,0.9569,0B0705,Leather
12,4,4,0.0,0.6667,0.0471,0.0,0.6667,0.6667,0.9529,0C0404,Asphalt
26,17,16,0.0167,0.3846,0.102,0.0,0.3462,0.3846,0.898,1A1110,Licorice
12,9,10,0.9444,0.25,0.0471,0.0,0.25,0.1667,0.9529,0C090A,Night
35,43,43,0.5,0.186,0.1686,0.186,0.0,0.0,0.8314,232B2B,Charleston Green
26,36,33,0.45,0.2778,0.1412,0.2778,0.0,0.0833,0.8588,1A2421,Dark Jungle Green
27,27,27,0.0,0.0,0.1059,0.0,0.0,0.0,0.8941,1B1B1B,Eerie Black
36,33,36,0.8333,0.0833,0.1412,0.0,0.0833,0.0,0.8588,242124,Raisin Black
16,12,8,0.0833,0.5,0.0627,0.0,0.25,0.5,0.9373,100C08,Smoky Black
1,1,39,0.6667,0.9744,0.1529,0.9744,0.9744,0.0,0.8471,010127,Black Rock
11,11,11,0.0,0.0,0.0431,0.0,0.0,0.0,0.9569,0B0B0B,Neutral Black
25,28,39,0.631,0.359,0.1529,0.359,0.2821,0.0,0.8471,191C27,Black Denim
15,4,4,0.0,0.7333,0.0588,0.0,0.7333,0.7333,0.9412,0F0404,Vampire Black
21,25,34,0.6154,0.3824,0.1333,0.3824,0.2647,0.0,0.8667,151922,Cool Black
25,28,32,0.5952,0.2188,0.1255,0.2188,0.125,0.0,0.8745,191C20,Frost Black
14,12,1,0.141,0.9286,0.0549,0.0,0.1429,0.9286,0.9451,0E0C01,Power Black
16,14,9,0.119,0.4375,0.0627,0.0,0.125,0.4375,0.9373,100E09,Premium Black
11,5,16,0.7576,0.6875,0.0627,0.3125,0.6875,0.0,0.9373,0B0510,Black Magic
26,34,40,0.5714,0.35,0.1569,0.35,0.15,0.0,0.8431,1A2228,Alien Black
27,24,17,0.1167,0.3704,0.1059,0.0,0.1111,0.3704,0.8941,1B1811,Black Chocolate
18,3,33,0.75,0.9091,0.1294,0.4545,0.9091,0.0,0.8706,120321,Gothic Grape
26,26,26,0.0,0.0,0.102,0.0,0.0,0.0,0.898,1A1A1A,Metropolis
28,28,28,0.0,0.0,0.1098,0.0,0.0,0.0,0.8902,1C1C1C,Night Shadow
26,15,15,0.0,0.4231,0.102,0.0,0.4231,0.4231,0.898,1A0F0F,Dark Raisin
22,19,17,0.0667,0.2273,0.0863,0.0,0.1364,0.2273,0.9137,161311,Tea Bag
13,14,14,0.5,0.0714,0.0549,0.0714,0.0,0.0,0.9451,0D0E0E,Tech Black
22,22,22,0.0,0.0,0.0863,0.0,0.0,0.0,0.9137,161616,Dull Black
1,2,3,0.5833,0.6667,0.0118,0.6667,0.3333,0.0,0.9882,010203,Dark Black
7,0,11,0.7727,1.0,0.0431,0.3636,1.0,0.0,0.9569,07000B,Natural Black
31,32,31,0.3333,0.0313,0.1255,0.0312,0.0,0.0312,0.8745,1F201F,Retro Black
5,2,3,0.9444,0.6,0.0196,0.0,0.6,0.4,0.9804,050203,Deep Black
128,128,128,0.0,0.0,0.502,0.0,0.0,0.0,0.498,808080,Gray
55,55,55,0.0,0.0,0.2157,0.0,0.0,0.0,0.7843,373737,Shadow
89,77,91,0.8095,0.1538,0.3569,0.022,0.1538,0.0,0.6431,594D5B,Graphite
50,45,49,0.8667,0.1,0.1961,0.0,0.1,0.02,0.8039,322D31,Iron
105,104,128,0.6736,0.1875,0.502,0.1797,0.1875,0.0,0.498,696880,Pewter
197,198,208,0.6515,0.0529,0.8157,0.0529,0.0481,0.0,0.1843,C5C6D0,Cloud
173,173,201,0.6667,0.1393,0.7882,0.1393,0.1393,0.0,0.2118,ADADC9,Silver
89,81,94,0.7692,0.1383,0.3686,0.0532,0.1383,0.0,0.6314,59515E,Smoke
62,61,83,0.6742,0.2651,0.3255,0.253,0.2651,0.0,0.6745,3E3D53,Dark Slate
65,66,76,0.6515,0.1447,0.298,0.1447,0.1316,0.0,0.702,41424C,Anchor
86,76,77,0.9833,0.1163,0.3373,0.0,0.1163,0.1047,0.6627,564C4D,Ash
77,76,92,0.6771,0.1739,0.3608,0.163,0.1739,0.0,0.6392,4D4C5C,Porpoise
124,110,127,0.8039,0.1339,0.498,0.0236,0.1339,0.0,0.502,7C6E7F,Dove
101,89,103,0.8095,0.1359,0.4039,0.0194,0.1359,0.0,0.5961,655967,Fog
127,125,156,0.6774,0.1987,0.6118,0.1859,0.1987,0.0,0.3882,7F7D9C,Flint
35,32,35,0.8333,0.0857,0.1373,0.0,0.0857,0.0,0.8627,232023,Charcoal Gray
51,51,51,0.0,0.0,0.2,0.0,0.0,0.0,0.8,333333,Pebble
63,63,78,0.6667,0.1923,0.3059,0.1923,0.1923,0.0,0.6941,3F3F4E,Lead
152,151,169,0.6759,0.1065,0.6627,0.1006,0.1065,0.0,0.3373,9897A9,Coin
120,114,118,0.8889,0.05,0.4706,0.0,0.05,0.0167,0.5294,787276,Fossil
59,68,75,0.5729,0.2133,0.2941,0.2133,0.0933,0.0,0.7059,3B444B,Arsenic
102,106,109,0.5714,0.0642,0.4275,0.0642,0.0275,0.0,0.5725,666A6D,Nevada
94,94,94,0.0,0.0,0.3686,0.0,0.0,0.0,0.6314,5E5E5E,Scorpion
132,132,130,0.1667,0.0152,0.5176,0.0,0.0,0.0152,0.4824,848482,Battleship Gray
98,93,93,0.0,0.051,0.3843,0.0,0.051,0.051,0.6157,625D5D,Carbon Gray
85,85,85,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,555555,Davy’S Gray
105,105,105,0.0,0.0,0.4118,0.0,0.0,0.0,0.5882,696969,Dim Gray
182,182,180,0.1667,0.011,0.7137,0.0,0.0,0.011,0.2863,B6B6B4,Gray Cloud
92,88,88,0.0,0.0435,0.3608,0.0,0.0435,0.0435,0.6392,5C5858,Gray Dolphin
80,74,75,0.9722,0.075,0.3137,0.0,0.075,0.0625,0.6863,504A4B,Gray Wolf
42,52,57,0.5556,0.2632,0.2235,0.2632,0.0877,0.0,0.7765,2A3439,Gunmetal
76,88,102,0.5897,0.2549,0.4,0.2549,0.1373,0.0,0.6,4C5866,Marengo
190,190,190,0.0,0.0,0.7451,0.0,0.0,0.0,0.2549,BEBEBE,Medium Gray
114,116,114,0.3333,0.0172,0.4549,0.0172,0.0,0.0172,0.5451,727472,Nickel
146,142,133,0.1154,0.089,0.5725,0.0,0.0274,0.089,0.4275,928E85,Stone Gray
65,74,76,0.5303,0.1447,0.298,0.1447,0.0263,0.0,0.702,414A4C,Outer Space
138,127,141,0.7976,0.0993,0.5529,0.0213,0.0993,0.0,0.4471,8A7F8D,Rocket Metallic
172,172,172,0.0,0.0,0.6745,0.0,0.0,0.0,0.3255,ACACAC,Silver Chalice
114,110,109,0.0333,0.0439,0.4471,0.0,0.0351,0.0439,0.5529,726E6D,Smokey Gray
117,117,117,0.0,0.0,0.4588,0.0,0.0,0.0,0.5412,757575,Sonic Gray
152,152,152,0.0,0.0,0.5961,0.0,0.0,0.0,0.4039,989898,Spanish Gray
139,133,137,0.8889,0.0432,0.5451,0.0,0.0432,0.0144,0.4549,8B8589,Taupe Gray
86,80,81,0.9722,0.0698,0.3373,0.0,0.0698,0.0581,0.6627,565051,Vampire Gray
187,188,182,0.1944,0.0319,0.7373,0.0053,0.0,0.0319,0.2627,BBBCB6,X11 Gray
116,109,105,0.0606,0.0948,0.4549,0.0,0.0603,0.0948,0.5451,746D69,Dark Silver
204,205,198,0.1905,0.0341,0.8039,0.0049,0.0,0.0341,0.1961,CCCDC6,Pastel Gray
188,194,194,0.5,0.0309,0.7608,0.0309,0.0,0.0,0.2392,BCC2C2,Misty Gray
152,150,146,0.1111,0.0395,0.5961,0.0,0.0132,0.0395,0.4039,989692,Vintage Gray
99,100,94,0.1944,0.06,0.3922,0.01,0.0,0.06,0.6078,63645E,Zombie Gray
161,161,161,0.0,0.0,0.6314,0.0,0.0,0.0,0.3686,A1A1A1,Perfect Gray
251,252,248,0.2083,0.0159,0.9882,0.004,0.0,0.0159,0.0118,FBFCF8,Pearl
254,249,243,0.0909,0.0433,0.9961,0.0,0.0197,0.0433,0.0039,FEF9F3,Alabaster
245,254,253,0.4815,0.0354,0.9961,0.0354,0.0,0.0039,0.0039,F5FEFD,Snow
253,246,228,0.12,0.0988,0.9922,0.0,0.0277,0.0988,0.0078,FDF6E4,Pale Ivory
255,250,218,0.1441,0.1451,1.0,0.0,0.0196,0.1451,0.0,FFFADA,Cream
255,249,227,0.131,0.1098,1.0,0.0,0.0235,0.1098,0.0,FFF9E3,Eggshell
251,251,249,0.1667,0.008,0.9843,0.0,0.0,0.008,0.0157,FBFBF9,Cotton
251,250,242,0.1481,0.0359,0.9843,0.0,0.004,0.0359,0.0157,FBFAF2,Chiffon
248,238,236,0.0278,0.0484,0.9725,0.0,0.0403,0.0484,0.0275,F8EEEC,Pink Salt
248,242,237,0.0758,0.0444,0.9725,0.0,0.0242,0.0444,0.0275,F8F2ED,Lace
255,241,230,0.0733,0.098,1.0,0.0,0.0549,0.098,0.0,FFF1E6,Coconut Milk
243,234,211,0.1198,0.1317,0.9529,0.0,0.037,0.1317,0.0471,F3EAD3,Linen
231,222,204,0.1111,0.1169,0.9059,0.0,0.039,0.1169,0.0941,E7DECC,Bone
250,250,250,0.0,0.0,0.9804,0.0,0.0,0.0,0.0196,FAFAFA,Daisy
251,252,250,0.25,0.0079,0.9882,0.004,0.0,0.0079,0.0118,FBFCFA,Powder
236,251,252,0.5104,0.0635,0.9882,0.0635,0.004,0.0,0.0118,ECFBFC,Frost
255,254,252,0.1111,0.0118,1.0,0.0,0.0039,0.0118,0.0,FFFEFC,Porcelain
251,245,223,0.131,0.1116,0.9843,0.0,0.0239,0.1116,0.0157,FBF5DF,Parchment
250,245,239,0.0909,0.044,0.9804,0.0,0.02,0.044,0.0196,FAF5EF,Rice
255,245,238,0.0686,0.0667,1.0,0.0,0.0392,0.0667,0.0,FFF5EE,Seashell
241,249,236,0.2692,0.0522,0.9765,0.0321,0.0,0.0522,0.0235,F1F9EC,Peppermint
253,255,245,0.2,0.0392,1.0,0.0078,0.0,0.0392,0.0,FDFFF5,Milk
248,248,255,0.6667,0.0275,1.0,0.0275,0.0275,0.0,0.0,F8F8FF,Ghost White
245,245,245,0.0,0.0,0.9608,0.0,0.0,0.0,0.0392,F5F5F5,White Smoke
254,254,250,0.1667,0.0157,0.9961,0.0,0.0,0.0157,0.0039,FEFEFA,Baby Powder
255,255,240,0.1667,0.0588,1.0,0.0,0.0,0.0588,0.0,FFFFF0,Ivory
255,250,240,0.1111,0.0588,1.0,0.0,0.0196,0.0588,0.0,FFFAF0,Floral White
236,243,249,0.5769,0.0522,0.9765,0.0522,0.0241,0.0,0.0235,ECF3F9,Link White
255,250,250,0.0,0.0196,1.0,0.0,0.0196,0.0196,0.0,FFFAFA,Rose White
253,252,250,0.1111,0.0119,0.9922,0.0,0.004,0.0119,0.0078,FDFCFA,Vista White
248,251,248,0.3333,0.012,0.9843,0.012,0.0,0.012,0.0157,F8FBF8,Snow Drift
255,252,236,0.1404,0.0745,1.0,0.0,0.0118,0.0745,0.0,FFFCEC,Island Spice
246,241,244,0.9,0.0203,0.9647,0.0,0.0203,0.0081,0.0353,F6F1F4,Soft Peach
235,245,240,0.4167,0.0408,0.9608,0.0408,0.0,0.0204,0.0392,EBF5F0,Harp
246,244,241,0.1,0.0203,0.9647,0.0,0.0081,0.0203,0.0353,F6F4F1,Cough Mixture
235,246,247,0.5139,0.0486,0.9686,0.0486,0.004,0.0,0.0314,EBF6F7,Cup Cake
248,244,255,0.7273,0.0431,1.0,0.0275,0.0431,0.0,0.0,F8F4FF,Magnolia
242,243,244,0.5833,0.0082,0.9569,0.0082,0.0041,0.0,0.0431,F2F3F4,Anti-Flash White
247,245,246,0.9167,0.0081,0.9686,0.0,0.0081,0.004,0.0314,F7F5F6,Cascading White
242,247,253,0.5909,0.0435,0.9922,0.0435,0.0237,0.0,0.0078,F2F7FD,Cotton Ball
248,248,232,0.1667,0.0645,0.9725,0.0,0.0,0.0645,0.0275,F8F8E8,Photon White
253,249,239,0.119,0.0553,0.9922,0.0,0.0158,0.0553,0.0078,FDF9EF,White Heat
254,255,252,0.2222,0.0118,1.0,0.0039,0.0,0.0118,0.0,FEFFFC,Whitewash
238,241,234,0.2381,0.029,0.9451,0.0124,0.0,0.029,0.0549,EEF1EA,Shadow White
239,236,225,0.131,0.0586,0.9373,0.0,0.0126,0.0586,0.0627,EFECE1,Acoustic White
237,242,248,0.5909,0.0444,0.9725,0.0444,0.0242,0.0,0.0275,EDF2F8,Aircraft White
252,255,249,0.25,0.0235,1.0,0.0118,0.0,0.0235,0.0,FCFFF9,Ceramic
244,245,240,0.2,0.0204,0.9608,0.0041,0.0,0.0204,0.0392,F4F5F0,Bright White
237,241,254,0.6275,0.0669,0.9961,0.0669,0.0512,0.0,0.0039,EDF1FE,Brilliant White
93,138,168,0.5667,0.4464,0.6588,0.4464,0.1786,0.0,0.3412,5D8AA8,Air Force Blue
240,248,255,0.5778,0.0588,1.0,0.0588,0.0275,0.0,0.0,F0F8FF,Alice Blue
227,38,54,0.9859,0.8326,0.8902,0.0,0.8326,0.7621,0.1098,E32636,Alizarin Crimson
239,222,205,0.0833,0.1423,0.9373,0.0,0.0711,0.1423,0.0627,EFDECD,Almond
229,43,80,0.9668,0.8122,0.898,0.0,0.8122,0.6507,0.102,E52B50,Amaranth
